timestamp,cycles,unroll,load_interleave,schedule,hash_interleave,block_group,speedup
2026-01-22T23:45:02,5439,6,2,stagewise,"(1, 3, 2)",2,27.16
2026-01-22T23:45:02,5439,6,2,stagewise,"(1, 3, 3)",2,27.16
2026-01-22T23:45:02,5439,6,2,stagewise,"(2, 0, 0)",2,27.16
2026-01-22T23:45:02,5439,6,2,stagewise,"(2, 0, 1)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 0, 2)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 0, 3)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 1, 0)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 1, 1)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 1, 2)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 1, 3)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 2, 0)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 2, 1)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 2, 2)",2,27.16
2026-01-22T23:45:03,5439,6,2,stagewise,"(2, 2, 3)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(2, 3, 0)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(2, 3, 1)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(2, 3, 2)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(2, 3, 3)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 0, 0)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 0, 1)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 0, 2)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 0, 3)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 1, 0)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 1, 1)",2,27.16
2026-01-22T23:45:04,5439,6,2,stagewise,"(3, 1, 2)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 1, 3)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 2, 0)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 2, 1)",2,27.16
2026-01-22T23:45:05,5439,6,2,stagewise,"(3, 2, 2)",2,27.16
